Description,Quantity,TotalPrice,Price,NumInvoices,Cluster_KMeans,PCA1,PCA2,Cluster_GMM_Spherical,Cluster_DBSCAN_Best,Cluster_Label
3 piece jigsaw toadstools,16,26.4,1.65,2,0,-2.269871168833511,-0.6425486339938871,0,0,Produits Dormants
3 piece spaceboy cookie cutter set,934,1935.5500000000002,2.1374358974358976,138,1,1.7948339360794858,0.10835231930151953,1,0,Produits star/Best-Sellers
3 pink hen+chicks in basket,69,74.85,1.2120000000000002,5,0,-1.2183721718018226,-0.8327065345112006,0,0,Produits Dormants
3 raffia ribbons 50's christmas,534,452.82000000000005,0.8448936170212766,46,3,0.8217504770408496,-0.8836880838513645,3,0,Produits de rotation moyenne
3 raffia ribbons vintage christmas,190,181.06,0.9333333333333333,17,3,-0.17173648708679443,-0.9184066331857849,3,0,Produits de rotation moyenne
3 rose morris boxed candles,409,896.17,2.4033333333333333,48,1,0.8662664082446337,0.12135689510682783,3,0,Produits star/Best-Sellers
3 stripey mice feltcraft,3288,5975.5599999999995,1.9433834586466165,365,1,2.927794203922585,0.13166094381208443,1,0,Produits star/Best-Sellers
3 tier cake tin green and cream,193,2679.5299999999997,14.992972972972973,65,2,0.8441343302047039,2.5796445925757636,2,0,Produits Premium
3 tier cake tin red and cream,331,4518.23,14.853456790123456,77,2,1.2348725888212864,2.6085245203943925,2,0,Produits Premium
3 tier sweetheart garden shelf,26,919.7,35.67727272727273,20,2,-0.685206294023812,3.711157593680845,2,1,Produits Premium
3 traditional biscuit cutters  set,539,1130.4,2.0975,89,1,1.2881457422435756,0.0325137044588408,1,0,Produits star/Best-Sellers
3 traditional cookie cutters  set,30,63.0,2.1,3,0,-1.7378823255318043,-0.32607582897842696,0,0,Produits Dormants
3 white choc morris boxed candles,393,945.5699999999999,2.6875999999999998,47,1,0.8488379597839687,0.24637174136939916,1,0,Produits star/Best-Sellers
3 wick christmas briar candle,107,401.25,3.75,28,2,-0.050239228462301735,0.564407850116527,2,0,Produits Premium
36 doilies dolly girl,591,828.15,1.446078431372549,48,3,1.006592980384638,-0.3948801742963993,3,0,Produits de rotation moyenne
36 doilies spaceboy design,136,197.2,1.45,18,3,-0.26162481482924316,-0.5341464602499632,3,0,Produits de rotation moyenne
36 doilies vintage christmas,2697,3651.45,1.4385714285714284,104,1,2.2295497350782005,-0.2649679174437248,1,0,Produits star/Best-Sellers
36 foil heart cake cases,1106,2048.7400000000002,1.9837121212121214,104,1,1.7540173805298236,0.014275538126613358,1,0,Produits star/Best-Sellers
36 foil star cake cases,720,1351.64,1.9861250000000001,68,1,1.3242580348106345,-0.033465434236651846,1,0,Produits star/Best-Sellers
36 pencils tube posy,60,75.0,1.25,19,3,-0.760127168487268,-0.7275311942631342,3,0,Produits de rotation moyenne
36 pencils tube red retrospot,1832,2217.04,1.2456818181818183,123,1,2.0449246023489307,-0.41509958147916215,1,0,Produits star/Best-Sellers
36 pencils tube red spotty,1508,1787.72,1.2406172839506173,81,1,1.7493598215670236,-0.45722990963465615,1,0,Produits star/Best-Sellers
36 pencils tube skulls,1697,2045.25,1.2454761904761906,151,1,2.0822968632877856,-0.4093259621362282,1,0,Produits star/Best-Sellers
36 pencils tube woodland,1662,2053.18,1.2489017341040463,161,1,2.1035692424694297,-0.40099689467428556,1,0,Produits star/Best-Sellers
3d christmas stamps stickers,718,910.81,1.2948148148148149,66,1,1.2344579121476815,-0.47127561518882977,1,0,Produits star/Best-Sellers
3d dog picture playing cards,554,1634.3000000000002,2.95,77,1,1.3088347787128998,0.42548810639368867,1,0,Produits star/Best-Sellers
3d hearts  honeycomb paper garland,383,1101.0500000000002,2.9294871794871793,39,1,0.801212067268332,0.3528800818848095,1,0,Produits star/Best-Sellers
3d sheet of cat stickers,471,400.34999999999997,0.85,59,3,0.8481085095411346,-0.8736578115395729,3,0,Produits de rotation moyenne
3d sheet of dog stickers,524,445.4,0.85,56,3,0.8909660048889722,-0.8697511877274035,3,0,Produits de rotation moyenne
3d sheet of sea world stickers,61,51.849999999999994,0.85,11,3,-1.0465359920581678,-1.0933020139204654,0,0,Produits de rotation moyenne
3d stickers christmas stamps,320,362.0,1.195714285714286,7,3,-0.165059358302197,-0.7230293621316134,3,0,Produits de rotation moyenne
3d stickers traditional christmas,460,537.0,1.2228571428571429,14,3,0.32278460343579873,-0.6421598953365282,3,0,Produits de rotation moyenne
3d stickers vintage christmas,400,462.0,1.2327272727272727,11,3,0.1416792419011234,-0.6590049484451453,3,0,Produits de rotation moyenne
3d traditional christmas stickers,953,1186.46,1.2723,84,1,1.5001806761508403,-0.45680664335004023,1,0,Produits star/Best-Sellers
3d vintage christmas stickers,1039,1293.96,1.2882222222222222,79,1,1.5259669720336688,-0.4447313975902109,1,0,Produits star/Best-Sellers
4 blue dinner candles silver flock,52,132.6,2.55,13,3,-0.8539959740810272,0.0026740157206306425,0,0,Produits de rotation moyenne
4 burgundy wine dinner candles,311,149.70999999999998,1.1314285714285715,12,3,-0.23556523583260972,-0.874578294629669,3,0,Produits de rotation moyenne
4 festive green dinner candles,3,3.75,1.25,1,0,-3.378213403998084,-1.0384810786663472,0,0,Produits Dormants
4 gold flock christmas balls,44,63.1,1.5499999999999998,9,0,-1.2123315285859313,-0.5869480861356345,0,0,Produits Dormants
4 ivory dinner candles gold flock,644,712.92,2.3488571428571428,32,3,0.7690671504569092,-0.0028656004707175563,3,0,Produits de rotation moyenne
4 ivory dinner candles silver flock,796,1303.2,2.151209677419355,106,1,1.5165896800485992,0.052328658041437916,1,0,Produits star/Best-Sellers
4 lavender botanical dinner candles,298,644.5,2.5755813953488373,40,3,0.589083353420159,0.15914989270084515,3,0,Produits de rotation moyenne
4 lily  botanical dinner candles,260,752.5,3.213636363636364,51,1,0.6675599785762852,0.44304553487548387,3,0,Produits star/Best-Sellers
4 pear botanical dinner candles,310,694.5,2.7581967213114753,55,1,0.7451397062269051,0.2554995310718023,3,0,Produits star/Best-Sellers
4 pink dinner candle silver flock,114,143.26,1.9666666666666666,16,3,-0.4892909902158596,-0.30246422484338625,3,0,Produits de rotation moyenne
4 pink flock christmas balls,47,66.85,1.4,15,3,-0.9698510251222131,-0.6437211018087087,0,0,Produits de rotation moyenne
4 purple flock dinner candles,181,252.91,2.062,23,3,-0.04133974114454026,-0.19201776142798938,3,0,Produits de rotation moyenne
4 rose pink dinner candles,343,220.43,1.1480000000000001,9,3,-0.19926342340397502,-0.8265826296047156,3,0,Produits de rotation moyenne
4 sky blue dinner candles,290,163.3,1.167,9,3,-0.3418728387256885,-0.8455387637910523,3,0,Produits de rotation moyenne
4 traditional spinning tops,3605,4548.55,1.3430103806228373,265,1,2.7768593019502594,-0.2621482305662069,1,0,Produits star/Best-Sellers
4 vanilla botanical candles,340,652.5,2.4094202898550723,65,1,0.8381632415885863,0.1078423811885404,3,0,Produits star/Best-Sellers
4 wildflower botanical candles,242,582.5,2.75,44,3,0.5273012827327649,0.235634070623534,3,0,Produits de rotation moyenne
5 hook blackboard organiser,68,659.1999999999999,9.914634146341463,40,2,-0.02668723556497492,1.8861554470069541,2,0,Produits Premium
5 hook hanger magic toadstool,902,1392.3,1.6372340425531915,42,1,1.2240886864188014,-0.2530722846232657,1,0,Produits star/Best-Sellers
5 hook hanger red magic toadstool,1348,2109.0,1.6404761904761902,73,1,1.6964015323987307,-0.19303785658466233,1,0,Produits star/Best-Sellers
5 strand glass necklace amber,4,25.4,6.35,4,0,-2.6030378195559307,0.9446558329795347,0,0,Produits Dormants
5 strand glass necklace amethyst,8,50.8,6.35,4,0,-2.221860618716598,0.9958539340795339,0,0,Produits Dormants
5 strand glass necklace black,8,50.8,6.35,4,0,-2.221860618716598,0.9958539340795339,0,0,Produits Dormants
5 strand glass necklace crystal,28,177.79999999999998,6.35,10,2,-1.166217997034736,1.1257696308314902,2,0,Produits Premium
50's christmas gift bag large,929,1077.25,1.24475,40,1,1.1614682403467917,-0.5279739862552505,3,0,Produits star/Best-Sellers
50's christmas paper gift bag,603,474.46,0.8166666666666667,30,3,0.7013477381233831,-0.9330636471411929,3,0,Produits de rotation moyenne
50cm metal string with  7 clips,78,66.3,0.8499999999999999,12,3,-0.8671375276566606,-1.0734299504448357,3,0,Produits de rotation moyenne
6 chocolate love heart t-lights,1343,2578.4900000000002,2.08,113,1,1.9110300573543266,0.08207017015455448,1,0,Produits star/Best-Sellers
6 crochet strawberries,226,280.6,1.2440625,25,3,0.1413810551998498,-0.6333243707995209,3,0,Produits de rotation moyenne
6 egg house painted wood,467,3328.65,7.906779661016949,114,1,1.5015416575447271,1.7307084667928019,2,0,Produits star/Best-Sellers
6 gift tags 50's christmas,1505,1225.39,0.8289908256880734,105,1,1.7740543039195826,-0.7906724918728971,1,0,Produits star/Best-Sellers
6 gift tags vintage christmas,1672,1387.76,0.83,112,1,1.8699378930315074,-0.7765424011918376,1,0,Produits star/Best-Sellers
6 hook jewel stand lilac dress,1,8.49,8.49,1,0,-3.6131484098599156,1.180589262258326,0,0,Produits Dormants
6 hook jewellery stand black dress,232,478.55999999999995,2.956153846153846,13,3,-0.04048654625815505,0.21890320315017947,3,0,Produits de rotation moyenne
6 rabbit chain easter,12,10.2,0.85,1,0,-2.7323455739408846,-1.292035924941912,0,0,Produits Dormants
6 ribbons elegant christmas,2164,2881.46,1.473921568627451,135,1,2.1969356920716305,-0.24668933243738972,1,0,Produits star/Best-Sellers
6 ribbons empire,1031,1311.3700000000001,1.4701652892561983,112,1,1.6587883957185952,-0.3138368571162054,1,0,Produits star/Best-Sellers
6 ribbons shimmering pinks,767,715.93,1.4076315789473683,67,1,1.1785570728783072,-0.4466483580543689,1,0,Produits star/Best-Sellers
6 rocket balloons,1678,1098.5,0.6621428571428571,128,1,1.8707200717476247,-0.9430710166722303,1,0,Produits star/Best-Sellers
6 segment coloured snack bowl,3,23.85,7.95,3,0,-2.8137932555266083,1.2233147740824635,0,0,Produits Dormants
60 cake cases dolly girl design,3975,2014.33,0.557409090909091,203,1,2.514344257405367,-0.9952930729948365,1,0,Produits star/Best-Sellers
60 gold and silver fairy cake cases,1491,748.29,0.5428767123287671,70,1,1.4819456038037144,-1.1319576858849278,1,0,Produits star/Best-Sellers
6pc wood plate set disposable,52,65.0,1.25,7,0,-1.2267263138173903,-0.7880713269046923,0,0,Produits Dormants
70's alphabet wall art,144,993.6,7.919999999999999,12,2,-0.12498607499806279,1.5297172542601083,2,0,Produits Premium
72 cake cases dolly girl design,192,105.6,0.55,6,3,-0.688919812493405,-1.371096511185171,3,0,Produits de rotation moyenne
72 round pink doilies,38,55.1,1.45,4,0,-1.577676194087667,-0.6902862945444819,0,0,Produits Dormants
75 black fairy cake cases,519,254.25,0.538695652173913,23,3,0.3875227492531083,-1.2676740488841922,3,0,Produits de rotation moyenne
75 black petit four cases,265,111.3,0.42,41,3,0.18325981939511327,-1.4169134064897015,3,0,Produits de rotation moyenne
75 green fairy cake cases,642,337.5,0.5472340425531915,45,3,0.8071128197610797,-1.1986151124300186,3,0,Produits de rotation moyenne
75 green petit four cases,608,255.35999999999999,0.42,53,3,0.7869730084074654,-1.3503668201348311,3,0,Produits de rotation moyenne
a pretty thank you card,108,45.36,0.42,9,3,-0.9505901363206197,-1.5533370774597461,0,0,Produits de rotation moyenne
a4 wall tidy blue office,180,99.00000000000001,0.5814285714285715,6,3,-0.7309373295051743,-1.3466468700501166,3,0,Produits de rotation moyenne
a4 wall tidy red flowers,10,5.42,0.56,4,0,-2.5423186894579906,-1.5550461714567736,0,0,Produits Dormants
abc treasure book box,1040,2140.2,2.232857142857143,70,1,1.5727403256867776,0.11890570842862692,1,0,Produits star/Best-Sellers
abstract circle journal,437,1000.95,2.503125,45,1,0.8885886552707939,0.1700987319020288,1,0,Produits star/Best-Sellers
abstract circles notebook,73,120.45,1.65,23,3,-0.5105744788350972,-0.42892501695679847,3,0,Produits de rotation moyenne
abstract circles pocket book,442,325.3,0.8444736842105263,35,3,0.5536186540109472,-0.9334186692701391,3,0,Produits de rotation moyenne
abstract circles sketchbook,252,773.8,3.6161764705882353,63,1,0.7380489666013672,0.5916361353153811,1,0,Produits star/Best-Sellers
acrylic geometric lamp,9,170.55,18.95,8,2,-1.7460779016796732,2.6265845242799224,2,0,Produits Premium
"acrylic hanging jewel,blue",107,68.5,0.554,9,3,-0.844416459150175,-1.3602447089849394,3,0,Produits de rotation moyenne
"acrylic hanging jewel,pink",44,16.72,0.38,4,0,-1.792038245022259,-1.701556928030369,0,0,Produits Dormants
"acrylic jewel angel,pink",96,36.48,0.38,2,0,-1.547010471579751,-1.6842220260781486,0,0,Produits Dormants
"acrylic jewel icicle, blue",85,47.54,0.8033333333333332,3,0,-1.4285605219187836,-1.2357640660423161,0,0,Produits Dormants
"acrylic jewel icicle, pink",65,24.700000000000003,0.38000000000000006,6,0,-1.4241807268821434,-1.6599717823199285,0,0,Produits Dormants
"acrylic jewel snowflake, pink",49,20.34,1.24,2,0,-1.9975694250667224,-1.0229480898818422,0,0,Produits Dormants
"acrylic jewel snowflake,blue",49,20.79,1.4649999999999999,2,0,-2.0071934540324934,-0.883727158885669,0,0,Produits Dormants
"acrylic jewel snowflake,pink",48,18.24,0.38,1,0,-2.123113443938001,-1.748058525892955,0,0,Produits Dormants
adult apron apple delight,107,506.33000000000004,5.4990000000000006,20,2,-0.16603656257535404,1.0282216097226573,2,0,Produits Premium
advent calendar gingham sack,693,4008.07,6.0068707482993196,138,1,1.7946291163226544,1.3928178233613053,1,0,Produits star/Best-Sellers
afghan slipper sock pair,1185,3783.25,3.3875,28,1,1.3619310789747532,0.5801618936928465,1,0,Produits star/Best-Sellers
aged glass silver t-light holder,7813,4737.650000000001,0.6415384615384616,230,1,3.0200185106725383,-0.8420422126887535,1,0,Produits star/Best-Sellers
airline bag vintage jet set brown,184,846.5,4.645121951219512,73,2,0.6992446775326872,0.9293698475278113,2,0,Produits Premium
airline bag vintage jet set red,344,1599.24,4.7347887323943665,133,1,1.323829825346295,1.0268706208076648,1,0,Produits star/Best-Sellers
airline bag vintage jet set white,201,925.05,4.633333333333334,82,2,0.8006761293830352,0.9385786177475333,2,0,Produits Premium
airline bag vintage tokyo 78,601,2667.75,4.617945205479452,199,1,1.8162067202668075,1.0485154512318795,1,0,Produits star/Best-Sellers
airline bag vintage world champion,193,893.29,4.745619047619047,100,1,0.8564146241921892,0.9759257614866926,2,0,Produits star/Best-Sellers
"airline lounge,metal sign",400,828.14,2.081968503937008,123,1,1.2387784932940835,0.022286506756660596,1,0,Produits star/Best-Sellers
alarm clock bakelike chocolate,1084,3972.84,3.740769230769231,176,1,2.0907967240866068,0.8079340393130997,1,0,Produits star/Best-Sellers
alarm clock bakelike green,3128,11623.65,3.7703441295546556,436,1,3.109764576497078,0.9374321554158047,1,0,Produits star/Best-Sellers
alarm clock bakelike ivory,1507,5555.49,3.7425517241379307,256,1,2.446583857878684,0.8513970793158716,1,0,Produits star/Best-Sellers
alarm clock bakelike orange,1372,5004.71,3.762616033755274,211,1,2.305860989740642,0.8389076692843083,1,0,Produits star/Best-Sellers
alarm clock bakelike pink,2432,8866.39,3.764858757062147,321,1,2.825061543394752,0.8995391099123677,1,0,Produits star/Best-Sellers
alarm clock bakelike red,4419,15806.84,3.756725978647687,497,1,3.3614936368283805,0.9567392082288263,1,0,Produits star/Best-Sellers
alphabet hearts sticker sheet,392,333.2,0.85,40,3,0.5790015328677202,-0.9067362367729099,3,0,Produits de rotation moyenne
alphabet stencil craft,2097,2372.87,1.250546875,114,1,2.0741216600300056,-0.4182793851291499,1,0,Produits star/Best-Sellers
aluminium heart,16,39.84,2.49,3,0,-2.0738988624028805,-0.17214818221586908,0,0,Produits Dormants
aluminium stamped heart,303,734.7900000000001,2.48280701754386,55,3,0.768351321906433,0.15851943505749502,3,0,Produits de rotation moyenne
amber bertie glass bead bag charm,1,2.1,2.1,1,0,-3.76860200059928,-0.5854537629447674,0,0,Produits Dormants
amber bertie mobile phone charm,5,8.45,1.69,1,0,-3.0768856152100734,-0.7142106207177426,0,0,Produits Dormants
amber chunky bead bracelet w strap,26,232.7,8.95,9,2,-1.1958241449507832,1.599687096331903,2,0,Produits Premium
amber chunky glass+bead necklace,12,143.39999999999998,11.95,8,2,-1.6485377714546885,1.9608300481985126,2,0,Produits Premium
amber diamante expandable ring,13,55.25,4.25,3,0,-2.1018946316863754,0.47678018433133157,0,0,Produits Dormants
amber drop earrings w long beads,20,59.00000000000001,2.95,5,0,-1.7451202398669172,0.0674170440643932,0,0,Produits Dormants
amber fine bead necklace w tassel,6,35.7,5.95,3,0,-2.485685292938068,0.8730225856175235,0,0,Produits Dormants
amber glass bracelet heart charms,5,24.75,4.95,2,0,-2.733850167105672,0.594693464449511,0,0,Produits Dormants
amber glass tassle bag charm,27,79.65,2.9500000000000006,6,0,-1.5048107035352787,0.0957293037851499,0,0,Produits Dormants
amber glass/shell/pearl necklace,2,17.9,8.95,2,0,-3.1206735533978636,1.3414003403033388,0,0,Produits Dormants
amber glass/silver bracelet,14,125.29999999999998,8.95,9,2,-1.559039791749097,1.557784545320767,2,0,Produits Premium
amethyst chunky bead bracelet w str,33,295.34999999999997,8.95,17,2,-0.8097626158721518,1.6485390513194842,2,0,Produits Premium
amethyst diamante expandable ring,20,85.0,4.25,6,0,-1.6182723795998404,0.5371363358856142,0,0,Produits Dormants
amethyst hoop earring floral leaf,16,47.2,2.95,6,0,-1.8108119013543589,0.06137012654418288,0,0,Produits Dormants
angel decoration 3 buttons,3086,1244.28,0.41876288659793814,83,1,1.9377390040737146,-1.2298958784230039,1,0,Produits star/Best-Sellers
angel decoration painted zinc,1233,715.65,0.6583333333333333,33,3,1.0931396927160462,-1.0599492152990295,3,0,Produits de rotation moyenne
angel decoration stars on dress,2111,886.62,0.42,69,1,1.6451276810652196,-1.2566401803162282,1,0,Produits star/Best-Sellers
angel decoration with lace padded,648,550.8,0.85,46,3,0.9385857936216274,-0.867062322084142,3,0,Produits de rotation moyenne
animal stickers,1487,312.27,0.21000000000000002,39,3,1.015768585553585,-1.6472563322267373,3,0,Produits de rotation moyenne
animals and nature wall art,237,811.47,3.6733333333333333,12,2,0.06855128322611777,0.5328578237880492,2,0,Produits Premium
ant copper lime boudicca bracelet,45,222.75,4.95,20,2,-0.6557276932994766,0.8539301862208151,2,0,Produits Premium
ant copper pink boudicca bracelet,40,198.0,4.95,14,2,-0.8659659375243085,0.8273355394346786,2,0,Produits Premium
ant copper red boudicca bracelet,20,99.0,4.95,8,0,-1.4883613057197673,0.7528899489469137,0,0,Produits Dormants
ant copper turq boudicca bracelet,32,158.4,4.95,12,2,-1.0580505759128538,0.8046710597619057,2,0,Produits Premium
ant silver fuschia boudicca ring,20,59.00000000000001,2.9500000000000006,6,0,-1.6809228595465393,0.07607861553957859,0,0,Produits Dormants
ant silver lime green boudicca ring,37,109.15000000000002,2.95,9,0,-1.1700112245519567,0.13627399187695247,0,0,Produits Dormants
ant silver purple boudicca ring,18,53.10000000000001,2.95,6,0,-1.7423789188421461,0.06914526823102002,0,0,Produits Dormants
ant silver turquoise boudicca ring,18,53.10000000000001,2.95,5,0,-1.806576299162524,0.060483696755834614,0,0,Produits Dormants
ant white high rise bird box,45,270.0,6.0,1,2,-1.6034943049887742,0.9829466484283105,0,-1,Produits Premium
ant white iron basket,19,103.05000000000001,5.825,8,2,-1.5136639821059388,0.9586214335053748,0,0,Produits Premium
ant white wire heart spiral,628,2373.8,3.9071200000000004,123,1,1.6170632544740056,0.806915015701302,1,0,Produits star/Best-Sellers
antique all glass candlestick,429,823.34,2.0621666666666667,55,1,0.9277821268878707,-0.03906158217856518,3,0,Produits star/Best-Sellers
antique cream cutlery cupboard,16,204.0,12.75,9,2,-1.4276132224864064,2.0820174872855106,2,0,Produits Premium
antique cream cutlery shelf,39,331.5,8.5,19,2,-0.6745734750653151,1.5916026539935624,2,0,Produits Premium
antique edwardian dresser,40,584.4,17.4,8,2,-0.937147088194678,2.5727345434888003,2,0,Produits Premium
antique glass dressing table pot,988,2819.1200000000003,2.9874311926605506,94,1,1.728025277046622,0.4816519504569496,1,0,Produits star/Best-Sellers
antique glass heart decoration,1027,1973.85,1.9468750000000001,74,1,1.5825583125112213,-0.021162319022759977,1,0,Produits star/Best-Sellers
antique glass pedestal bowl,534,1940.8,3.7668478260869565,79,1,1.3296286946046154,0.7245231975374806,1,0,Produits star/Best-Sellers
antique glass place setting,333,388.89,1.2388235294117647,17,3,0.20309508382704874,-0.6422864778025739,3,0,Produits de rotation moyenne
antique glass ridged hanging ball,352,657.5999999999999,1.9369565217391302,23,3,0.4544950961372142,-0.16285395966308924,3,0,Produits de rotation moyenne
antique heart shelf unit,187,2593.35,16.30909090909091,22,2,0.3725399230481688,2.6305007853317823,2,0,Produits Premium
antique ivory wire bowl small,54,134.46,2.49,10,3,-0.9363311003616427,-0.036395704104150994,0,0,Produits de rotation moyenne
antique lily fairy lights,1213,5433.15,4.815833333333333,118,1,2.0205038538833997,1.1148169826080148,1,0,Produits star/Best-Sellers
antique mid blue flower earrings,2,8.5,4.25,1,0,-3.3932264132534335,0.3017442981713268,0,0,Produits Dormants
antique olive green flower earrings,9,38.25,4.25,3,0,-2.31213743976087,0.45159085506251717,0,0,Produits Dormants
antique opal white flower earrings,5,21.25,4.25,4,0,-2.5449127459875784,0.4225134696534019,0,0,Produits Dormants
antique raspberry flower earrings,1,4.25,4.25,1,0,-3.6954036486607342,0.2461220037042527,0,0,Produits Dormants
antique silver bauble lamp,181,1650.2,10.083823529411765,30,2,0.4234093738622737,1.945785129307065,2,0,Produits Premium
antique silver t-light glass,5662,6626.900000000001,1.2390725806451615,244,1,2.999624274348574,-0.3142838494543934,1,0,Produits star/Best-Sellers
antique silver tea glass engraved,6909,7915.43,1.2371864406779662,268,1,3.152260170931421,-0.30090863822309266,1,0,Produits star/Best-Sellers
antique silver tea glass etched,9618,11010.18,1.2242547425474255,334,1,3.444004621062005,-0.2758189347459456,1,0,Produits star/Best-Sellers
antique tall swirlglass trinket pot,441,1645.94,3.7876404494382023,75,1,1.2003272527186815,0.719791289007303,1,0,Produits star/Best-Sellers
apothecary measuring jar,14,166.9,12.23,5,2,-1.7322539521659697,1.978776271572892,2,0,Produits Premium
